, Product Division,Category,Sub Category,Destination,Product Name,Portion,Quantity Sold,Value of Sales,Net Value of Sales,% of Total Sales,% of Division,% of Category,% of Sub-Cat,Gross Sales,Discount,Promotion,Tax
400,,,,Sub-Cat Total,,,1588,5128.259999999999,4277.350999999998,6.3773382181,16.4768455515,99.9999999998,99.9999999998,5543.06,12.91,401.89000000000004,850.9090000000003
401,,,Category Total,,,,1588,5128.259999999999,4277.350999999998,6.3773382181,16.4768455515,100,99.9999999998,5543.06,12.910000000000002,401.89000000000004,850.9090000000002
402,Bar,Wine,04 Wine,Standard,Barossa Ink Shir,125ml,1,3.06,2.5483000000000002,0.003805317,0.0098316285,0.1635183157,0.1635183157,3.06,0,0,0.5117
403,Bar,Wine,04 Wine,Standard,Barossa Ink Shir,175ml,3,12.66,10.5493,0.0157435664,0.0406759534,0.676516953,0.676516953,12.66,0,0,2.1107
404,Bar,Wine,04 Wine,Standard,Barossa Ink Shir,250ml,3,17.19,14.3138,0.0213769278,0.0552306192,0.918588185,0.918588185,17.19,0,0,2.8762
405,Bar,Wine,04 Wine,Standard,Bolla Pinot GR,Bottle,6,68.7,57.2419,0.0854330973,0.2207296996,3.6711464985,3.6711464985,68.7,0,0,11.4581
406,Bar,Wine,04 Wine,Standard,Creek Chard Drau,125ml,7,14.26,11.8828,0.0177332746,0.0458166742,0.7620167259,0.7620167259,13.86,0,-0.4,2.3772
407,Bar,Wine,04 Wine,Standard,Creek Chard Drau,175ml,23,60.18,50.143699999999995,0.074837901,0.1933553613,3.2158602079,3.2158602079,62.1,0,1.92,10.0363
408,Bar,Wine,04 Wine,Standard,Creek Chard Drau,250ml,48,166.04000000000002,138.36730000000003,0.206481972,0.5334783017,8.8727389318,8.8727389318,175.68,0,9.64,27.6727
409,Bar,Wine,04 Wine,Standard,Creek Merlot Dra,125ml,8,16.64,13.8642,0.020692965600000002,0.0534634964,0.8891976381,0.8891976381,15.84,0,-0.8,2.7758
410,Bar,Wine,04 Wine,Standard,Creek Merlot Dra,175ml,25,65.58,55.095,0.0815531662,0.210705294,3.5044219414,3.5044219414,67.5,0,1.92,10.485
411,Bar,Wine,04 Wine,Standard,Creek Merlot Dra,250ml,13,45.3,37.7474,0.0563336144,0.1455466578,2.42071232,2.42071232,47.58,0,2.28,7.5526
412,Bar,Wine,04 Wine,Standard,Creek Pinot Drau,125ml,13,26.939999999999998,22.445299999999996,0.0335017124,0.0865568866,1.4396024261,1.4396024261,25.74,0,-1.2,4.4947
413,Bar,Wine,04 Wine,Standard,Creek Pinot Drau,175ml,50,128.32,106.91929999999999,0.1595746004,0.4122858087,6.8570817859,6.8570817859,135,1.56,5.12,21.4007
414,Bar,Wine,04 Wine,Standard,Creek Pinot Drau,250ml,72,249.53999999999996,207.94139999999996,0.3103198705,0.8017596687,13.3347583295,13.3347583295,263.52,1.47,12.51,41.5986
415,Bar,Wine,04 Wine,Standard,Creek Rose Coldw,125ml,6,11.88,9.898900000000001,0.0147735836,0.038169852,0.6348358137,0.6348358137,11.88,0,0,1.9811
416,Bar,Wine,04 Wine,Standard,Creek Rose Coldw,175ml,14,36.199999999999996,30.166099999999997,0.0450171488,0.1163088082,1.9344323617,1.9344323617,37.8,0,1.6,6.0339
417,Bar,Wine,04 Wine,Standard,Creek Rose Coldw,250ml,22,72.46,60.39549999999999,0.0901089117,0.2328103935,3.8720709648,3.8720709648,80.52,0,8.06,12.0645
418,Bar,Wine,04 Wine,Standard,Cune White Rioja,125ml,1,2.38,1.9825,0.002959691,0.0076468222,0.1271809122,0.1271809122,2.69,0,0.31,0.3975
419,Bar,Wine,04 Wine,Standard,Cune White Rioja,175ml,2,6.07,5.0557,0.0075484556,0.0195026096,0.3243647634,0.3243647634,7.38,0,1.31,1.0143
420,Bar,Wine,04 Wine,Standard,Cune White Rioja,250ml,4,16.58,13.810499999999998,0.0206183516,0.0532707194,0.8859913966,0.8859913966,20.04,0,3.46,2.7695
421,Bar,Wine,04 Wine,Standard,Cune White Rioja,Bottle,1,13.46,11.22,0.0167384205,0.0432463138,0.7192668394,0.7192668394,13.46,0,0,2.24
422,Bar,Wine,04 Wine,Standard,Gallo Rose,Bottle,3,31.35,26.128300000000003,0.0389858457,0.1007259983,1.6752611751,1.6752611751,31.35,0,0,5.2217
423,Bar,Wine,04 Wine,Standard,GL Baros InkShir,125ml,3,7.14,5.9502999999999995,0.008879073,0.0229404666,0.3815427365,0.3815427365,9.18,0,2.04,1.1897
424,Bar,Wine,04 Wine,Standard,GL Baros InkShir,175ml,2,4.76,3.9667999999999997,0.005919382,0.0152936444,0.2543618244,0.2543618244,8.44,0,3.68,0.7932
